Order_ID,Order_Date,Customer_Name,Customer_Segment,Country,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Sales,Shipping_Cost,Profit,Payment_Method,Year,Month,Month_Name,Quarter,Day_Name,Profit_Margin,Gross_Sales,Discount_Amount
ORD-11121,2023-01-02,Karen Suzuki,Corporate,United States,North America,Technology,Wireless Bluetooth Headphones,3,99.43,0,298.29,9.31,124.92,Cash on Delivery,2023,1,January,Q1,Monday,41.87870863924369,298.29,0.0
ORD-11244,2023-01-02,John Johansson,Corporate,Spain,Europe,Technology,Mechanical Gaming Keyboard,4,97.93,20,313.38,14.31,83.62,Cash on Delivery,2023,1,January,Q1,Monday,26.683259940008934,391.72499999999997,78.34499999999997
ORD-10325,2023-01-03,Jessica Garcia,Consumer,Mexico,North America,Office Supplies,Binder Clips Assorted 48pc,2,10.74,0,21.48,8.12,3.69,Credit Card,2023,1,January,Q1,Tuesday,17.178770949720672,21.48,0.0
ORD-10467,2023-01-03,Clara Taylor,Corporate,Italy,Europe,Technology,Webcam HD 1080p,2,61.86,15,105.16,10.79,26.32,PayPal,2023,1,January,Q1,Tuesday,25.02852795739825,123.71764705882353,18.557647058823534
ORD-11454,2023-01-05,Felix Thomas,Consumer,Italy,Europe,Furniture,Standing Desk Converter,4,330.67,20,1058.14,11.09,253.44,Credit Card,2023,1,January,Q1,Thursday,23.95146199935736,1322.675,264.53499999999985
ORD-11746,2023-01-05,Fatima Suzuki,Consumer,Mexico,North America,Furniture,Bookshelf 5-Tier,1,61.93,10,55.74,5.88,12.7,PayPal,2023,1,January,Q1,Thursday,22.784355938284893,61.93333333333334,6.193333333333335
ORD-11162,2023-01-06,Felix Rodriguez,Home Office,United States,North America,Office Supplies,Premium Notebook Set A5,2,15.03,5,28.56,6.59,8.44,PayPal,2023,1,January,Q1,Friday,29.551820728291318,30.063157894736843,1.5031578947368445
ORD-11271,2023-01-06,Ayumi Ferrari,Home Office,Nigeria,Middle East & Africa,Technology,Laptop Stand Adjustable,2,33.91,10,61.04,14.38,9.36,Bank Transfer,2023,1,January,Q1,Friday,15.334207077326342,67.82222222222222,6.782222222222224
ORD-11702,2023-01-06,Thomas Smith,Consumer,China,Asia Pacific,Furniture,Standing Desk Converter,2,334.11,5,634.81,11.92,221.96,Bank Transfer,2023,1,January,Q1,Friday,34.96479261511319,668.2210526315789,33.41105263157897
ORD-10847,2023-01-07,Ali Rodriguez,Consumer,Saudi Arabia,Middle East & Africa,Furniture,Folding Table Portable,1,58.77,5,55.83,12.03,8.54,Credit Card,2023,1,January,Q1,Saturday,15.296435608096004,58.76842105263158,2.9384210526315826
ORD-10446,2023-01-08,Raj Martinez,Corporate,Colombia,South America,Clothing & Accessories,Leather Wallet Minimalist,2,38.91,15,66.15,14.25,12.99,Credit Card,2023,1,January,Q1,Sunday,19.63718820861678,77.82352941176471,11.673529411764704
ORD-11499,2023-01-08,Kenji Rossi,Corporate,Spain,Europe,Office Supplies,Paper Clips Box 500pc,3,7.8,10,21.06,12.61,-2.08,Cash on Delivery,2023,1,January,Q1,Sunday,-9.876543209876544,23.4,2.34
ORD-10271,2023-01-09,Mary Khan,Corporate,United Kingdom,Europe,Technology,Webcam HD 1080p,1,48.73,10,43.86,8.11,8.95,Credit Card,2023,1,January,Q1,Monday,20.405836753305973,48.733333333333334,4.873333333333335
ORD-11356,2023-01-12,Maria Tanaka,Consumer,Colombia,South America,Clothing & Accessories,Travel Backpack 30L,1,59.48,0,59.48,11.42,18.32,Credit Card,2023,1,January,Q1,Thursday,30.800268997982517,59.48,0.0
ORD-10793,2023-01-13,Zara Brown,Corporate,Italy,Europe,Office Supplies,Tape Dispenser Heavy Duty,1,15.82,0,15.82,9.16,-0.46,PayPal,2023,1,January,Q1,Friday,-2.9077117572692797,15.82,0.0
ORD-11330,2023-01-13,Marco Moreau,Corporate,Japan,Asia Pacific,Clothing & Accessories,Business Casual Blazer,3,51.92,30,109.03,13.39,17.76,PayPal,2023,1,January,Q1,Friday,16.289094744565716,155.75714285714287,46.727142857142866
ORD-11886,2023-01-13,Christopher Johansson,Consumer,Nigeria,Middle East & Africa,Furniture,Corner L-Shaped Desk,3,358.6,15,914.43,14.74,254.21,Cash on Delivery,2023,1,January,Q1,Friday,27.79983158907735,1075.8,161.37
ORD-10339,2023-01-14,Susan Davis,Home Office,Australia,Asia Pacific,Furniture,Ergonomic Office Chair,2,446.8,5,848.92,13.59,299.17,Cash on Delivery,2023,1,January,Q1,Saturday,35.24124770296377,893.6,44.680000000000064
ORD-10402,2023-01-14,Jamal Schmidt,Consumer,Mexico,North America,Furniture,Folding Table Portable,6,96.58,0,579.48,10.22,221.57,Credit Card,2023,1,January,Q1,Saturday,38.236004693863464,579.48,0.0
ORD-10560,2023-01-14,Sarah Davis,Home Office,Italy,Europe,Clothing & Accessories,Wool Blend Scarf,1,27.9,5,26.5,8.93,3.62,PayPal,2023,1,January,Q1,Saturday,13.660377358490566,27.894736842105264,1.3947368421052637
ORD-10686,2023-01-15,Clara Smith,Corporate,Colombia,South America,Office Supplies,Whiteboard Markers Set 8,5,9.91,25,37.16,20.73,-5.87,Cash on Delivery,2023,1,January,Q1,Sunday,-15.796555435952639,49.54666666666666,12.386666666666663
ORD-11718,2023-01-15,Robert Khan,Consumer,Colombia,South America,Clothing & Accessories,Wool Blend Scarf,2,47.0,10,84.6,14.83,22.77,Credit Card,2023,1,January,Q1,Sunday,26.914893617021278,93.99999999999999,9.399999999999991
ORD-10736,2023-01-17,Jennifer Russo,Home Office,United States,North America,Technology,Smart LED Desk Lamp,2,32.91,0,65.82,7.55,22.07,PayPal,2023,1,January,Q1,Tuesday,33.530841689456096,65.82,0.0
ORD-10846,2023-01-17,Yuki Costa,Corporate,UAE,Middle East & Africa,Office Supplies,Sticky Notes Multicolor 6-Pack,2,11.41,5,21.68,15.26,-3.85,Bank Transfer,2023,1,January,Q1,Tuesday,-17.75830258302583,22.821052631578947,1.1410526315789475
ORD-11128,2023-01-18,Amir Oliveira,Consumer,Mexico,North America,Furniture,Standing Desk Converter,5,333.59,10,1501.15,9.02,491.36,Credit Card,2023,1,January,Q1,Wednesday,32.732238617060254,1667.9444444444446,166.79444444444448
ORD-10279,2023-01-20,Ivan Zhang,Consumer,UAE,Middle East & Africa,Office Supplies,Desk Calendar 2025,7,10.6,20,59.36,18.26,7.71,Bank Transfer,2023,1,January,Q1,Friday,12.988544474393532,74.19999999999999,14.83999999999999
ORD-10344,2023-01-20,Sakura Martinez,Home Office,Australia,Asia Pacific,Furniture,Floating Wall Shelves Set,2,67.38,5,128.02,11.0,36.16,Cash on Delivery,2023,1,January,Q1,Friday,28.245586627089516,134.75789473684213,6.737894736842122
ORD-10589,2023-01-20,Mary Davis,Consumer,Argentina,South America,Technology,Portable External SSD 1TB,4,121.25,0,485.0,18.53,199.72,PayPal,2023,1,January,Q1,Friday,41.179381443298965,485.0,0.0
ORD-11029,2023-01-20,Karen Rossi,Home Office,Japan,Asia Pacific,Office Supplies,Whiteboard Markers Set 8,4,19.92,0,79.68,16.01,27.81,Cash on Delivery,2023,1,January,Q1,Friday,34.90210843373494,79.68,0.0
ORD-11026,2023-01-22,Chen Singh,Consumer,China,Asia Pacific,Technology,Smart LED Desk Lamp,3,34.98,5,99.69,14.67,27.3,Credit Card,2023,1,January,Q1,Sunday,27.384893168823353,104.93684210526317,5.24684210526317
ORD-10968,2023-01-23,Wei Müller,Consumer,Canada,North America,Furniture,Floating Wall Shelves Set,4,37.18,5,141.28,12.28,39.77,Credit Card,2023,1,January,Q1,Monday,28.14977349943375,148.71578947368423,7.435789473684224
ORD-11723,2023-01-23,Raj Costa,Consumer,United Kingdom,Europe,Office Supplies,Stapler Full-Size,1,8.54,15,7.26,7.97,-4.55,Credit Card,2023,1,January,Q1,Monday,-62.67217630853994,8.541176470588235,1.2811764705882354
ORD-10408,2023-01-24,Hanna Sato,Consumer,Germany,Europe,Office Supplies,Paper Clips Box 500pc,2,8.53,5,16.21,9.3,-0.77,Credit Card,2023,1,January,Q1,Tuesday,-4.750154225786551,17.063157894736843,0.8531578947368423
ORD-11828,2023-01-24,Sarah Zhang,Home Office,South Africa,Middle East & Africa,Clothing & Accessories,Canvas Messenger Bag,4,57.87,20,185.18,13.88,55.56,PayPal,2023,1,January,Q1,Tuesday,30.00324009072254,231.475,46.29499999999999
ORD-11035,2023-01-25,Linda Russo,Corporate,Italy,Europe,Office Supplies,Whiteboard Markers Set 8,8,15.41,10,110.95,21.9,33.57,PayPal,2023,1,January,Q1,Wednesday,30.25687246507436,123.27777777777777,12.327777777777769
ORD-10599,2023-01-26,Chen Laurent,Consumer,United States,North America,Technology,Mechanical Gaming Keyboard,1,167.57,5,159.19,6.21,60.82,PayPal,2023,1,January,Q1,Thursday,38.2059174571267,167.56842105263158,8.37842105263158
ORD-10780,2023-01-27,David Anderson,Consumer,Saudi Arabia,Middle East & Africa,Furniture,Ergonomic Office Chair,2,212.13,0,424.26,14.72,154.98,Cash on Delivery,2023,1,January,Q1,Friday,36.529486635553674,424.26,0.0
ORD-10636,2023-01-28,Ayumi Tanaka,Corporate,South Korea,Asia Pacific,Office Supplies,Ballpoint Pen Pack 12,5,9.02,15,38.33,17.7,0.34,Credit Card,2023,1,January,Q1,Saturday,0.8870336551004436,45.09411764705882,6.764117647058825
ORD-10694,2023-01-28,Susan Johansson,Consumer,Mexico,North America,Technology,Webcam HD 1080p,3,55.78,0,167.34,9.38,65.92,Credit Card,2023,1,January,Q1,Saturday,39.39285287438747,167.34,0.0
ORD-10711,2023-01-28,Mary Ferrari,Consumer,United Kingdom,Europe,Office Supplies,Premium Notebook Set A5,5,10.25,0,51.25,18.89,9.3,PayPal,2023,1,January,Q1,Saturday,18.146341463414636,51.25,0.0
ORD-10383,2023-01-29,Michael Harris,Home Office,Argentina,South America,Clothing & Accessories,Canvas Messenger Bag,1,54.25,0,54.25,11.58,15.54,Credit Card,2023,1,January,Q1,Sunday,28.64516129032258,54.25,0.0
ORD-10435,2023-01-30,Priya Martin,Consumer,Canada,North America,Office Supplies,Stapler Full-Size,4,16.61,5,63.12,8.4,24.82,Bank Transfer,2023,1,January,Q1,Monday,39.32192648922687,66.4421052631579,3.3221052631579013
ORD-10017,2023-01-31,Kenji Nilsson,Home Office,Japan,Asia Pacific,Clothing & Accessories,Silk Tie Collection,3,18.32,0,54.96,12.91,14.57,Credit Card,2023,1,January,Q1,Tuesday,26.51018922852984,54.96,0.0
ORD-11220,2023-01-31,Amir Hassan,Consumer,United States,North America,Clothing & Accessories,Cotton Formal Shirt,4,53.6,0,214.4,8.52,98.68,PayPal,2023,1,January,Q1,Tuesday,46.026119402985074,214.4,0.0
ORD-11237,2023-01-31,Ahmed Garcia,Home Office,India,Asia Pacific,Furniture,Corner L-Shaped Desk,4,429.23,5,1631.07,12.2,588.72,Credit Card,2023,1,January,Q1,Tuesday,36.094097739520684,1716.9157894736843,85.84578947368436
ORD-11655,2023-01-31,Li Wang,Corporate,Brazil,South America,Technology,USB-C Hub Multiport Adapter,2,28.99,10,52.18,12.7,7.59,Credit Card,2023,1,January,Q1,Tuesday,14.545802989651207,57.977777777777774,5.797777777777775
ORD-11858,2023-01-31,Ava Martinez,Corporate,Nigeria,Middle East & Africa,Office Supplies,Binder Clips Assorted 48pc,3,8.65,5,24.65,17.04,-4.07,Credit Card,2023,1,January,Q1,Tuesday,-16.511156186612578,25.94736842105263,1.2973684210526315
ORD-10787,2023-02-01,Ahmed Clark,Consumer,Canada,North America,Technology,Tablet Stand Holder,3,19.94,0,59.82,8.61,18.31,Bank Transfer,2023,2,February,Q1,Wednesday,30.60849214309595,59.82,0.0
ORD-10950,2023-02-02,William Sharma,Corporate,Italy,Europe,Technology,Webcam HD 1080p,6,32.72,5,186.5,10.11,68.41,PayPal,2023,2,February,Q1,Thursday,36.68096514745308,196.31578947368422,9.81578947368422
ORD-10374,2023-02-03,Felix Smith,Corporate,Colombia,South America,Clothing & Accessories,Canvas Messenger Bag,12,25.43,5,289.9,23.56,113.76,Bank Transfer,2023,2,February,Q1,Friday,39.24111762676786,305.1578947368421,15.257894736842104
ORD-10745,2023-02-03,Yuki Kumar,Corporate,Canada,North America,Furniture,Standing Desk Converter,4,274.83,10,989.39,10.28,319.52,Credit Card,2023,2,February,Q1,Friday,32.29464619614105,1099.322222222222,109.9322222222221
ORD-11670,2023-02-03,Jamal Rossi,Corporate,South Korea,Asia Pacific,Furniture,Floating Wall Shelves Set,1,60.16,15,51.14,10.85,4.19,Bank Transfer,2023,2,February,Q1,Friday,8.193195150567071,60.16470588235294,9.02470588235294
ORD-11158,2023-02-04,Maria Sharma,Home Office,Japan,Asia Pacific,Office Supplies,Desk Calendar 2025,10,8.37,15,71.14,24.19,9.29,Cash on Delivery,2023,2,February,Q1,Saturday,13.058757379814448,83.69411764705883,12.554117647058831
ORD-11430,2023-02-04,Karen Martinez,Home Office,Colombia,South America,Office Supplies,Paper Clips Box 500pc,1,4.78,10,4.3,11.84,-9.69,Bank Transfer,2023,2,February,Q1,Saturday,-225.34883720930233,4.777777777777778,0.47777777777777786
ORD-11760,2023-02-04,Sakura Thomas,Corporate,Argentina,South America,Technology,Webcam HD 1080p,7,79.23,15,471.42,19.84,146.54,Cash on Delivery,2023,2,February,Q1,Saturday,31.08480760256247,554.6117647058824,83.19176470588235
ORD-10720,2023-02-05,Hans Chen,Consumer,Germany,Europe,Furniture,Bookshelf 5-Tier,1,188.93,5,179.48,9.2,56.92,Cash on Delivery,2023,2,February,Q1,Sunday,31.713839982170715,188.92631578947368,9.446315789473687
ORD-11218,2023-02-05,Lucas Sharma,Consumer,Brazil,South America,Clothing & Accessories,Business Casual Blazer,10,138.7,15,1178.95,17.36,468.09,Credit Card,2023,2,February,Q1,Sunday,39.70397387505831,1387.0,208.04999999999995
ORD-10384,2023-02-07,Giulia Leroy,Consumer,China,Asia Pacific,Clothing & Accessories,Sports Water Bottle 750ml,1,8.96,0,8.96,11.08,-6.6,PayPal,2023,2,February,Q1,Tuesday,-73.66071428571428,8.96,0.0
ORD-11503,2023-02-07,Felix Yamamoto,Consumer,Japan,Asia Pacific,Technology,Noise Cancelling Earbuds,2,173.37,0,346.74,10.89,145.14,PayPal,2023,2,February,Q1,Tuesday,41.85845301955355,346.74,0.0
ORD-11711,2023-02-07,Layla Khan,Home Office,Canada,North America,Technology,Noise Cancelling Earbuds,1,63.94,10,57.55,6.86,15.52,PayPal,2023,2,February,Q1,Tuesday,26.96785403996525,63.94444444444444,6.394444444444446
ORD-10098,2023-02-08,Ava Jones,Consumer,Australia,Asia Pacific,Technology,Webcam HD 1080p,3,64.55,10,174.28,13.01,54.76,Credit Card,2023,2,February,Q1,Wednesday,31.42070231810879,193.64444444444445,19.364444444444445
ORD-10314,2023-02-08,Sakura Martin,Corporate,Japan,Asia Pacific,Office Supplies,Stapler Full-Size,5,14.53,5,69.02,11.87,24.46,Credit Card,2023,2,February,Q1,Wednesday,35.439003187481894,72.65263157894736,3.632631578947368
ORD-10322,2023-02-08,Maria Laurent,Home Office,South Korea,Asia Pacific,Office Supplies,Paper Clips Box 500pc,1,9.63,10,8.67,10.44,-6.1,PayPal,2023,2,February,Q1,Wednesday,-70.35755478662053,9.633333333333333,0.9633333333333329
ORD-11507,2023-02-09,Zara Suzuki,Consumer,Canada,North America,Furniture,Bookshelf 5-Tier,4,118.02,0,472.08,7.9,180.93,Bank Transfer,2023,2,February,Q1,Thursday,38.32613116420946,472.08,0.0
ORD-11683,2023-02-09,Zara Costa,Consumer,United Kingdom,Europe,Furniture,Folding Table Portable,9,126.93,0,1142.37,23.14,433.81,PayPal,2023,2,February,Q1,Thursday,37.97456165690626,1142.37,0.0
ORD-10642,2023-02-10,Olga Kim,Consumer,Argentina,South America,Furniture,Standing Desk Converter,8,289.71,10,2085.91,16.44,678.86,Bank Transfer,2023,2,February,Q1,Friday,32.54502830898745,2317.6777777777775,231.7677777777776
ORD-11011,2023-02-10,Hans Kim,Corporate,Japan,Asia Pacific,Clothing & Accessories,Travel Backpack 30L,2,81.58,15,138.69,11.8,45.31,Bank Transfer,2023,2,February,Q1,Friday,32.66998341625207,163.16470588235293,24.474705882352936
ORD-11270,2023-02-10,Isabella White,Consumer,Germany,Europe,Technology,Portable External SSD 1TB,9,111.98,5,957.43,24.38,378.75,Credit Card,2023,2,February,Q1,Friday,39.55902781404385,1007.8210526315789,50.39105263157899
ORD-11659,2023-02-10,Emma Oliveira,Consumer,Italy,Europe,Clothing & Accessories,Leather Wallet Minimalist,3,45.99,0,137.97,12.68,56.3,Credit Card,2023,2,February,Q1,Friday,40.80597231282162,137.97,0.0
ORD-10256,2023-02-11,Michael Zhang,Consumer,Canada,North America,Office Supplies,Paper Clips Box 500pc,3,4.96,10,13.39,7.09,-0.4,Cash on Delivery,2023,2,February,Q1,Saturday,-2.9873039581777445,14.877777777777778,1.4877777777777776
ORD-10527,2023-02-12,Hanna Ahmed,Consumer,Saudi Arabia,Middle East & Africa,Clothing & Accessories,Travel Backpack 30L,8,80.13,25,480.78,18.17,142.09,Bank Transfer,2023,2,February,Q1,Sunday,29.554057989101047,641.04,160.26
ORD-11082,2023-02-12,Patricia Müller,Consumer,Australia,Asia Pacific,Clothing & Accessories,Wool Blend Scarf,1,43.57,5,41.39,10.06,9.54,PayPal,2023,2,February,Q1,Sunday,23.04904566320367,43.56842105263158,2.1784210526315775
ORD-10473,2023-02-15,Kenji Zhang,Corporate,United States,North America,Technology,Noise Cancelling Earbuds,2,143.15,5,271.99,8.58,105.94,Credit Card,2023,2,February,Q1,Wednesday,38.94996139563954,286.3052631578948,14.315263157894776
ORD-11304,2023-02-15,Ayumi Martinez,Home Office,Canada,North America,Furniture,Folding Table Portable,8,126.81,10,913.03,22.05,282.29,Cash on Delivery,2023,2,February,Q1,Wednesday,30.917932598052637,1014.4777777777778,101.44777777777779
ORD-11560,2023-02-16,Ayumi Nilsson,Home Office,Nigeria,Middle East & Africa,Technology,Webcam HD 1080p,1,48.95,0,48.95,12.32,9.71,PayPal,2023,2,February,Q1,Thursday,19.83656792645557,48.95,0.0
ORD-11196,2023-02-17,Mia Ali,Corporate,United States,North America,Furniture,Monitor Riser Wood,2,47.62,5,90.48,8.3,25.04,Bank Transfer,2023,2,February,Q1,Friday,27.67462422634836,95.24210526315791,4.762105263157906
ORD-11355,2023-02-17,Lucas Schmidt,Home Office,Australia,Asia Pacific,Technology,Wireless Bluetooth Headphones,1,238.37,15,202.61,11.03,60.48,Credit Card,2023,2,February,Q1,Friday,29.850451606534715,238.36470588235295,35.75470588235294
ORD-11569,2023-02-17,Barbara Davis,Consumer,United Kingdom,Europe,Clothing & Accessories,Cotton Formal Shirt,5,39.22,10,176.49,17.7,60.74,Credit Card,2023,2,February,Q1,Friday,34.415547623094795,196.1,19.609999999999985
ORD-10916,2023-02-18,Jessica Wang,Corporate,South Korea,Asia Pacific,Clothing & Accessories,Business Casual Blazer,2,72.23,20,115.57,13.08,30.26,Credit Card,2023,2,February,Q1,Saturday,26.1832655533443,144.46249999999998,28.892499999999984
ORD-10837,2023-02-19,Jamal Zhang,Consumer,Nigeria,Middle East & Africa,Clothing & Accessories,Leather Belt Classic,3,35.6,5,101.46,15.03,33.03,Credit Card,2023,2,February,Q1,Sunday,32.55470136014193,106.8,5.340000000000003
