Customer_Name,Sales,Profit,Orders,Quantity
Priya Jackson,3836.46,1390.64,2,14
Hanna Jones,3813.98,1370.08,1,12
Sarah Chen,3184.56,1153.99,2,17
Li Laurent,3007.62,1189.79,1,7
Nadia Wang,2958.9700000000003,1001.8100000000001,3,19
Priya Oliveira,2901.11,1054.26,1,10
Felix Thompson,2835.36,1115.05,1,6
Linda Weber,2762.4,657.86,1,10
Karen Sato,2738.18,884.82,2,11
Lucas Nilsson,2734.69,1016.1899999999999,2,12
Layla Oliveira,2701.31,874.37,1,11
Ivan Jones,2647.41,838.3299999999999,2,11
Marco Santos,2620.28,1017.49,1,13
Wei Jackson,2566.56,614.64,1,10
Clara Müller,2538.5,992.84,1,10
James Ferrari,2424.87,909.8399999999999,2,12
Jamal Hassan,2327.47,760.05,1,8
Joseph Weber,2287.2799999999997,899.27,2,8
Hans Martinez,2264.35,647.7,1,6
Noah Moreau,2141.76,845.05,2,20
Omar Nilsson,2138.87,803.85,2,18
Olga Kim,2095.6499999999996,672.62,2,10
Liam Clark,2076.5299999999997,812.8699999999999,2,23
Ivan Santos,2069.76,280.17,1,7
Carlos Tanaka,2051.57,746.09,1,5
Wei Li,2042.1399999999999,650.59,4,28
Mary Yamamoto,1932.8,533.66,1,12
Ali Harris,1920.8899999999999,692.11,2,6
Fatima Singh,1896.67,783.71,3,20
Sakura Thomas,1835.02,615.01,4,30
Marco Sharma,1814.97,510.29,2,8
Fatima Li,1798.6299999999999,667.49,2,12
Lucas Chen,1789.77,425.91,2,11
Carlos Ferrari,1786.34,782.6500000000001,2,12
Omar Schmidt,1780.56,701.93,1,8
Ahmed Garcia,1769.48,618.74,2,14
Sakura Davis,1744.74,500.57,2,6
Ava Fischer,1739.6200000000001,512.01,3,19
Ethan Park,1682.35,657.16,1,5
Ahmed Johansson,1670.1000000000001,582.62,2,20
Giulia Johansson,1667.44,653.71,1,4
Kenji Robinson,1657.59,535.99,1,7
Ethan Sato,1645.59,460.6,1,9
Olga Schmidt,1637.23,633.6,1,7
David Garcia,1616.1,583.04,1,4
Elizabeth Leroy,1608.71,572.66,1,6
Priya Smith,1588.92,617.24,2,7
Ahmed Singh,1583.7,591.06,3,12
Lucas Kim,1513.4299999999998,584.2,2,7
Amir Oliveira,1501.15,491.36,1,5
Sophie Martinez,1500.83,625.95,3,20
Chen Patel,1470.07,474.53,5,16
Amir Garcia,1469.12,408.86,2,15
Patricia Pereira,1451.69,480.90999999999997,2,6
Hanna Johnson,1449.74,348.62,1,6
Omar Williams,1446.12,526.9,3,18
Ayumi Ahmed,1438.39,500.67,1,15
Liam Ali,1410.66,619.46,1,9
David Fischer,1399.84,503.45,1,8
Hanna Yamamoto,1378.26,485.71,1,6
Clara Miller,1362.28,483.5,3,15
Ivan Li,1359.3600000000001,445.29999999999995,2,7
Amir Brown,1319.0,496.58,1,9
Elizabeth Schmidt,1303.05,438.16,2,8
Jennifer Ali,1300.1,415.78,1,8
Lucas Hassan,1267.83,456.85,1,4
Karen Santos,1236.75,433.73,1,8
Hanna Sharma,1236.1,395.07,1,8
Pierre Fischer,1234.94,478.38,4,12
James White,1233.43,456.73,1,8
Omar Müller,1205.55,447.36,1,10
Christopher Hassan,1202.53,373.97,1,9
Christopher Romano,1197.9,373.88,1,11
Ahmed Miller,1196.43,486.56,1,6
Marco Taylor,1195.1100000000001,387.37,2,6
James Williams,1194.1,411.36,2,16
Liam Russo,1189.16,283.25,1,7
Lucas Sharma,1178.95,468.09,1,10
Nadia Tanaka,1176.52,315.3,2,12
Sarah Khan,1176.28,419.87,3,10
Isabella Rossi,1168.55,458.48,1,5
Priya Ferrari,1167.53,494.53000000000003,2,9
Sakura Dubois,1159.91,323.4,1,10
Emma Martin,1158.57,409.15,1,5
Zara Williams,1158.5,485.08,2,9
Amir Khan,1142.43,456.19,2,9
Zara Costa,1142.37,433.81,1,9
Ayumi Martinez,1131.45,332.58000000000004,2,15
Isabella White,1121.62,386.62,3,17
Wei White,1118.04,359.57,1,3
Raj Santos,1111.23,266.81,1,4
